Site,x,y,Wave Power (kwhr/m),1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,BAD_FLAG
ROT-00001,145.28577,14.17567,115620.6426,143393.0024,128512.9022,112509.6019,128067.7022,101533.2018,100399.5018,129809.7023,122594.2021,114979.9019,110709.6019,130180.3022,152830.9026,135986.3024,130667.5024,124306.6021,106911.2019,95193.60162,120875.7021,137006.2025,103508.3018,93849.00157,101178.2017,97408.00174,121386.202,110394.5018,108387.3018,97896.60163,115872.202,116567.902,94349.70167,99012.00169,113583.002,0
ROT-00005,145.20702,14.18288,42510.16948,45158.40073,30344.30052,40814.90073,55455.80096,27967.70047,43678.40075,36449.20069,63837.6011,44592.50073,23398.60044,65493.20108,66290.6011,41773.80071,48519.10088,26768.50043,54293.00095,34729.80059,49632.6008,65795.80109,21468.80036,24361.10041,35379.70058,42535.40076,41019.90069,53377.60089,53920.30095,30036.00051,45447.80081,28158.00052,36167.40063,41779.50072,41680.10072,0
WAK-00014,166.65736,19.28729,153809.0558,191489.4033,160471.6028,136062.0023,171758.5029,114967.302,128828.9023,170141.5029,164836.8028,161146.4028,137172.2025,187599.6032,211973.8038,154286.6027,144030.8024,151700.6026,158035.2026,125998.3021,155815.2027,172406.0031,149614.1026,137361.4023,135198.1023,135001.4023,153092.1026,148201.9027,152976.6027,121568.9021,170000.8029,144463.7024,164343.7028,146011.4025,165334.903,0
WAK-00009,166.65115,19.27116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ROT-00053,145.1312611,14.12271944,7847.722016,14369.40028,7623.200128,11797.50018,8974.900158,2919.800051,5968.000115,2822.800064,5700.200091,4608.000092,1437.300029,5956.500103,17681.50031,21766.60046,14258.60029,6982.600109,7718.000129,1843.400035,13779.20029,19105.50035,777.1000085,2843.300041,4089.200074,7229.600112,20880.50037,4555.300067,11133.10017,5086.800085,6021.700113,5874.400098,1893.900032,4063.800063,1365.400022,0
ROT-00002,145.25938,14.15378,8532.734529,17446.20034,8021.200149,12623.2002,10418.80018,3367.80006,6968.700133,3379.00007,6039.8001,7715.200141,1992.400038,6922.70012,18823.60031,25867.50053,16279.00033,6410.20011,7005.800097,2153.300035,15191.70032,18107.90035,1025.700013,3033.900047,4057.90007,5190.500082,24284.50043,5291.800087,10447.20015,4556.000081,6987.900132,6042.900099,2212.500037,3757.600067,1425.100024,0
ROT-00006,145.1504,14.15838,26313.6567,24504.00041,27141.90046,31648.80054,31999.60055,16730.70028,27225.60048,15561.2003,52212.30089,34566.9006,12957.10024,28601.50047,30710.8005,30903.00053,30239.20055,20376.50032,39186.20069,19483.00034,31893.90052,44241.00074,11524.30019,12003.0002,19708.60032,30788.00054,26836.80047,30405.60051,40865.30067,22212.20036,23136.90042,15625.40027,16374.00027,26514.00046,15859.70028,0
ROT-00007,145.14172,14.1367,4019.453201,10069.40021,2367.900042,7482.200109,5739.400107,2062.500036,3661.600064,1391.40003,2036.000032,2396.80005,200.0000019,3869.20008,6619.200098,12635.10035,11038.10023,2644.800044,2422.900045,140.300004,7186.200144,11282.30021,95.80000019,1170.900012,2402.60005,2450.300034,8615.300154,2667.500045,4533.400069,1689.200027,3008.500054,4393.700077,151.8000026,2042.700028,155.5000029,0
GUA-00007,144.9274,13.60227,101652.833,124434.9022,114618.102,93738.80162,116450.502,86168.40148,84168.30144,113050.8019,114807.102,111344.0019,97104.70166,114614.8019,123303.8022,113247.5019,110430.3019,107261.1019,102697.6018,84432.40145,106704.3019,109128.8018,93379.70163,86094.3015,87693.50148,88258.80159,99306.1017,100401.4017,97320.50171,91966.60163,102747.1018,99710.60162,87695.80153,88325.60149,102284.4017,0
AGU-00002,145.53667,14.84773,117097.5833,156604.9028,137249.1023,130070.9022,137647.0024,95419.5017,90396.40161,118130.9021,145230.7024,131117.9022,108791.9019,126081.7021,141228.3024,147770.7026,132046.4022,126995.8022,121500.002,83975.30138,124999.0021,147174.9026,95403.50174,89080.50158,95314.00158,100822.7018,134600.8024,100038.5017,127025.2022,104204.9018,111730.702,110141.1019,84813.50146,101868.1016,89647.8015,0
AGU-00003,145.55557,14.85975,116394.0832,156412.8028,135489.2023,129290.5022,137339.7024,94192.80167,89108.30158,117133.802,143302.4023,130205.9022,109148.4019,125738.1021,142239.2025,146565.7025,130993.0021,125534.7022,121747.302,83042.90136,124820.0021,147244.3026,94440.30171,89530.40159,94717.70157,101725.7018,134419.2024,99506.30164,125390.6021,101657.2018,111268.002,106707.9018,83140.00143,102123.8016,90434.50152,0
WAK-00004,166.59378,19.30782,85343.47961,65820.10114,113733.4019,105944.7019,91350.50161,99659.90169,95145.1018,73706.80129,108736.9019,95359.30173,66109.70116,82517.20145,53785.30095,95158.20159,103444.2017,93257.10166,88709.50154,106167.2017,91643.50166,98213.50178,86053.10144,53364.90088,87506.4016,83167.4014,68060.70112,93883.70162,106386.2019,95524.60161,60703.70102,67714.30121,62973.30111,72090.60127,65100.30114,0
WAK-00005,166.59486,19.30284,67681.37618,51693.10086,87365.50148,89474.40159,67133.40118,83082.3014,75143.60136,55334.90097,92869.30158,75669.70138,52197.9009,63708.00117,35822.8006,79391.10133,75646.70124,74107.40132,72477.90126,87395.00141,75605.00138,80786.20146,70702.30117,43683.90074,70719.5013,65286.80111,57324.10096,76614.50131,81695.80153,79712.70135,50349.50084,50482.90088,43892.20078,51033.1009,49402.50086,0
GUA-00009,144.89278,13.6326,107542.7737,130842.8023,121649.6021,102756.2018,118896.202,96769.50166,91974.70157,117202.502,121470.2021,116208.702,104519.1018,118157.0019,135119.3024,124034.7021,117391.802,117735.9021,105253.1018,89833.10156,114796.702,115820.5019,98658.30174,89340.70156,92483.20157,91648.50165,109354.4019,104602.4018,101663.9018,97986.70173,107656.1019,101893.4017,89355.00157,91346.90154,104947.6017,0
