"ISLAND","SITE","LATITUDE","LONGITUDE","WavePower"
"Baker","BAK-00452",0.19465336,-176.4604285,149622.25265
"Baker","BAK-00462",0.18692994,-176.4677742,119507.30205
"Baker","BAK-00469",0.18768045,-176.4744271,96675.7016525
"Baker","BAK-00441",0.20092394,-176.4656205,146471.6775
"Baker","BAK-00467",0.19919434,-176.4637309,147836.95255
"Baker","BAK-00445",0.18887714,-176.4853082,61418.201075
"Swains","SWA-00530",-11.05023167,-171.066259,110827.8769
"Swains","SWA-00581",-11.0469225,-171.0693931,103280.1018
"Tutuila","TUT-01991",-14.364113,-170.768151,77810.7512875
"Tutuila","TUT-02026",-14.362775,-170.763861,58785.151025
"Tutuila","TUT-01985",-14.36681371,-170.7633326,63645.6011125
"Tutuila","TUT-02006",-14.36939559,-170.7621121,65572.4761425
"Tutuila","TUT-02005",-14.363325,-170.767599,73573.826225
"Tutuila","TUT-02022",-14.363563,-170.762244,49513.70085875
"Tutuila","TUT-02016",-14.36540823,-170.7630002,53616.810932
"Tutuila","TUT-02027",-14.3657793,-170.7615768,26844.925458375
"Swains","SWA-00500",-11.05434165,-171.0639368,124887.10215
"Swains","SWA-00546",-11.05350237,-171.0922254,70551.851205
"Swains","SWA-00510",-11.06085322,-171.0898058,73231.40128
"Swains","SWA-00516",-11.067416,-171.076315,104338.201775
"Swains","SWA-00608",-11.064143,-171.086374,81525.301445
"Swains","SWA-00509",-11.04621,-171.08088,69897.42619
"Swains","SWA-00536",-11.045768,-171.076738,78560.9763625
"Swains","SWA-00585",-11.046903,-171.084229,68284.251155
"Swains","SWA-00522",-11.06358,-171.070922,102280.00175
"Swains","SWA-00576",-11.048145,-171.088706,65170.40115
"Swains","SWA-00604",-11.060624,-171.089674,73231.40128
"Swains","SWA-00541",-11.061995,-171.088665,74968.101325
"Swains","SWA-00606",-11.057535,-171.091218,70450.95122
"Swains","SWA-00545",-11.06777817,-171.0823078,103593.5268
"Swains","SWA-00559",-11.06126468,-171.0685849,102303.72675
"Swains","SWA-00609",-11.05210703,-171.0922486,69975.851215
"Tutuila","TUT-02070",-14.34218718,-170.7195479,121382.95205
"Tutuila","TUT-02137",-14.34815518,-170.7267763,126124.9522
"Tutuila","TUT-01511",-14.25132098,-170.6513173,10670.30019
"Tutuila","TUT-01535",-14.24885896,-170.6713187,10658.750185
