"","SITE","OBS_YEAR","PeakDHW","PeakDate"
"344","ASC-00490",2013,4.26000022888184,"2013-09-09"
"345","ASC-00490",2014,9.76000022888184,"2014-09-08"
"346","ASC-00490",2015,0,"2015-01-01"
"347","ASC-00490",2016,5.17000007629395,"2016-08-11"
"348","ASC-00490",2017,6.6399998664856,"2017-08-21"
"349","ASC-00490",2018,0,"2018-01-01"
"350","ASC-00490",2019,2.25999999046326,"2019-08-03"
"351","ASC-00404",2013,4.23999977111816,"2013-09-09"
"352","ASC-00404",2014,9.65999984741211,"2014-09-08"
"353","ASC-00404",2015,0,"2015-01-01"
"354","ASC-00404",2016,5.15000009536743,"2016-08-11"
"355","ASC-00404",2017,7.01999998092651,"2017-08-21"
"356","ASC-00404",2018,0,"2018-01-01"
"357","ASC-00404",2019,2.15000009536743,"2019-08-03"
"358","ASC-00414",2013,4.26999998092651,"2013-09-09"
"359","ASC-00414",2014,9.81999969482422,"2014-09-09"
"360","ASC-00414",2015,0,"2015-01-01"
"361","ASC-00414",2016,5.03000020980835,"2016-08-11"
"362","ASC-00414",2017,6.84000015258789,"2017-08-21"
"363","ASC-00414",2018,0,"2018-01-01"
"364","ASC-00414",2019,2.29999995231628,"2019-08-03"
"365","ASC-00448",2013,4.23999977111816,"2013-09-09"
"366","ASC-00448",2014,9.65999984741211,"2014-09-08"
"367","ASC-00448",2015,0,"2015-01-01"
"368","ASC-00448",2016,5.15000009536743,"2016-08-11"
"369","ASC-00448",2017,7.01999998092651,"2017-08-21"
"370","ASC-00448",2018,0,"2018-01-01"
"371","ASC-00448",2019,2.15000009536743,"2019-08-03"
"372","ASC-00464",2013,4.23999977111816,"2013-09-09"
"373","ASC-00464",2014,9.65999984741211,"2014-09-08"
"374","ASC-00464",2015,0,"2015-01-01"
"375","ASC-00464",2016,5.15000009536743,"2016-08-11"
"376","ASC-00464",2017,7.01999998092651,"2017-08-21"
"377","ASC-00464",2018,0,"2018-01-01"
"378","ASC-00464",2019,2.15000009536743,"2019-08-03"
"379","ASC-00425",2013,4.26999998092651,"2013-09-09"
"380","ASC-00425",2014,9.81999969482422,"2014-09-09"
"381","ASC-00425",2015,0,"2015-01-01"
"382","ASC-00425",2016,5.03000020980835,"2016-08-11"
"383","ASC-00425",2017,6.84000015258789,"2017-08-21"
"384","ASC-00425",2018,0,"2018-01-01"
"385","ASC-00425",2019,2.29999995231628,"2019-08-03"
"386","ASC-00437",2013,4.26999998092651,"2013-09-09"
"387","ASC-00437",2014,9.81999969482422,"2014-09-09"
"388","ASC-00437",2015,0,"2015-01-01"
"389","ASC-00437",2016,5.03000020980835,"2016-08-11"
"390","ASC-00437",2017,6.84000015258789,"2017-08-21"
"391","ASC-00437",2018,0,"2018-01-01"
"392","ASC-00437",2019,2.29999995231628,"2019-08-03"
"393","ASC-00455",2013,4.26999998092651,"2013-09-09"
"394","ASC-00455",2014,9.81999969482422,"2014-09-09"
"395","ASC-00455",2015,0,"2015-01-01"
"396","ASC-00455",2016,5.03000020980835,"2016-08-11"
"397","ASC-00455",2017,6.84000015258789,"2017-08-21"
"398","ASC-00455",2018,0,"2018-01-01"
"399","ASC-00455",2019,2.29999995231628,"2019-08-03"
"400","ASC-00487",2013,4.26999998092651,"2013-09-09"
"401","ASC-00487",2014,9.81999969482422,"2014-09-09"
"402","ASC-00487",2015,0,"2015-01-01"
"403","ASC-00487",2016,5.03000020980835,"2016-08-11"
"404","ASC-00487",2017,6.84000015258789,"2017-08-21"
"405","ASC-00487",2018,0,"2018-01-01"
"406","ASC-00487",2019,2.29999995231628,"2019-08-03"
"407","BAK-00497",2013,0,"2013-01-01"
"408","BAK-00497",2014,4.55999994277954,"2014-06-05"
"409","BAK-00497",2015,14.789999961853,"2015-11-27"
"410","BAK-00497",2016,13.6800003051758,"2016-01-03"
"411","BAK-00497",2017,0,"2017-01-01"
"412","BAK-00497",2018,0.150000005960464,"2018-12-08"
"413","BAK-00497",2019,7.1399998664856,"2019-08-05"
"414","BAK-00480",2013,0,"2013-01-01"
"415","BAK-00480",2014,4.55999994277954,"2014-06-05"
"416","BAK-00480",2015,14.789999961853,"2015-11-27"
"417","BAK-00480",2016,13.6800003051758,"2016-01-03"
"418","BAK-00480",2017,0,"2017-01-01"
"419","BAK-00480",2018,0.150000005960464,"2018-12-08"
"420","BAK-00480",2019,7.1399998664856,"2019-08-05"
"421","BAK-00506",2013,0,"2013-01-01"
"422","BAK-00506",2014,4.75,"2014-06-05"
"423","BAK-00506",2015,14.7700004577637,"2015-11-27"
"424","BAK-00506",2016,13.6800003051758,"2016-01-03"
"425","BAK-00506",2017,0,"2017-01-01"
"426","BAK-00506",2018,0.150000005960464,"2018-12-08"
"427","BAK-00506",2019,7.13000011444092,"2019-08-05"
"428","BAK-00408",2013,0,"2013-01-01"
"429","BAK-00408",2014,4.55999994277954,"2014-06-05"
"430","BAK-00408",2015,14.789999961853,"2015-11-27"
"431","BAK-00408",2016,13.6800003051758,"2016-01-03"
"432","BAK-00408",2017,0,"2017-01-01"
"433","BAK-00408",2018,0.150000005960464,"2018-12-08"
"434","BAK-00408",2019,7.1399998664856,"2019-08-05"
"435","BAK-00457",2013,0,"2013-01-01"
"436","BAK-00457",2014,4.55999994277954,"2014-06-05"
"437","BAK-00457",2015,14.789999961853,"2015-11-27"
"438","BAK-00457",2016,13.6800003051758,"2016-01-03"
"439","BAK-00457",2017,0,"2017-01-01"
"440","BAK-00457",2018,0.150000005960464,"2018-12-08"
"441","BAK-00457",2019,7.1399998664856,"2019-08-05"
"442","BAK-00454",2013,0,"2013-01-01"
"443","BAK-00454",2014,4.75,"2014-06-05"
"444","BAK-00454",2015,14.7700004577637,"2015-11-27"
"445","BAK-00454",2016,13.6800003051758,"2016-01-03"
"446","BAK-00454",2017,0,"2017-01-01"
"447","BAK-00454",2018,0.150000005960464,"2018-12-08"
"448","BAK-00454",2019,7.13000011444092,"2019-08-05"
"449","BAK-00490",2013,0,"2013-01-01"
"450","BAK-00490",2014,4.75,"2014-06-05"
"451","BAK-00490",2015,14.7700004577637,"2015-11-27"
"452","BAK-00490",2016,13.6800003051758,"2016-01-03"
"453","BAK-00490",2017,0,"2017-01-01"
"454","BAK-00490",2018,0.150000005960464,"2018-12-08"
"455","BAK-00490",2019,7.13000011444092,"2019-08-05"
"456","BAK-00407",2013,0,"2013-01-01"
"457","BAK-00407",2014,4.75,"2014-06-05"
"458","BAK-00407",2015,14.7700004577637,"2015-11-27"
"459","BAK-00407",2016,13.6800003051758,"2016-01-03"
"460","BAK-00407",2017,0,"2017-01-01"
"461","BAK-00407",2018,0.150000005960464,"2018-12-08"
"462","BAK-00407",2019,7.13000011444092,"2019-08-05"
"463","BAK-00418",2013,0,"2013-01-01"
"464","BAK-00418",2014,4.75,"2014-06-05"
"465","BAK-00418",2015,14.7700004577637,"2015-11-27"
"466","BAK-00418",2016,13.6800003051758,"2016-01-03"
"467","BAK-00418",2017,0,"2017-01-01"
"468","BAK-00418",2018,0.150000005960464,"2018-12-08"
"469","BAK-00418",2019,7.13000011444092,"2019-08-05"
"470","BAK-00452",2013,0,"2013-01-01"
"471","BAK-00452",2014,4.75,"2014-06-05"
"472","BAK-00452",2015,14.7700004577637,"2015-11-27"
"473","BAK-00452",2016,13.6800003051758,"2016-01-03"
"474","BAK-00452",2017,0,"2017-01-01"
"475","BAK-00452",2018,0.150000005960464,"2018-12-08"
"476","BAK-00452",2019,7.13000011444092,"2019-08-05"
"477","BAK-00462",2013,0,"2013-01-01"
"478","BAK-00462",2014,4.75,"2014-06-05"
"479","BAK-00462",2015,14.7700004577637,"2015-11-27"
"480","BAK-00462",2016,13.6800003051758,"2016-01-03"
"481","BAK-00462",2017,0,"2017-01-01"
"482","BAK-00462",2018,0.150000005960464,"2018-12-08"
"483","BAK-00462",2019,7.13000011444092,"2019-08-05"
"484","BAK-00469",2013,0,"2013-01-01"
